status,offer_id,title,brand_id,service_id,currency,unit_price,available_qty,inventory_value,has_inventory,created_at,updated_at,created_iso,updated_iso,age_days,description,seller_id,relation_id,region_id,edit_url
live,G1762917817424JG,[STEAM] Call of Duty: Black Ops 7,lgc_game_4644,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,54.98,9,494.82,true,1762917817447,1778560967905,2025-11-12T03:23:37.447Z,2026-05-12T04:42:47.905Z,181,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans, 0 hours in-game
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,30bc1266-d3a0-493a-bd3d-3642a6d3ff9a,,https://www.g2g.com/offers/G1762917817424JG/edit
live,G1770344697184HU,F38 poe1&2 challenge39/40 merc,lgc_game_27013,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,50,0,0,false,1770344697207,1778358936098,2026-02-06T02:24:57.207Z,2026-05-09T20:35:36.098Z,96,Poe2 Account for Sale: Clean & Guaranteed Forever. Get the absolute best price through this direct user-to-user transaction.,1001814582,429de98f-62de-400b-966f-369b10bc0c36,,https://www.g2g.com/offers/G1770344697184HU/edit
live,G1741849049551VA,[Battlenet] Vessel of Hatred  - Ultimate Edition 1566 platinum,lgc_game_26891,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,50,0,0,false,1741849049551,1778358936099,2025-03-13T06:57:29.551Z,2026-05-09T20:35:36.099Z,425,"I am selling my personal account and will provide you with the original email used to create the  account. 
The account is based in Vietnam, and the currency is USD.
I bought 2 pack: 
1.  The Banshee Queen : 2800 platinum
2.  Mother's Mercy: 2200 platinum
3. many skin from previous battle pass

Feel free to ask me any questions. 
Message me, and I will provide you with a full video before you make a purchase.",1001814582,7d14ad03-5914-4469-b0b4-1b77aa4a5b34,,https://www.g2g.com/offers/G1741849049551VA/edit
live,G1767015225906EV,"Ranger, Level 65, 24 passives, 4th trial, Ogham supporter pack, lifetime guarentee",lgc_game_27013,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,47,0,0,false,1767015225921,1778358936098,2025-12-29T13:33:45.921Z,2026-05-09T20:35:36.098Z,134,"► No build and items
► 4th trials (8 Ascendancy points)
► All acts completed, all quests for passive points closed
► Leveled up manually
► Other characters still available",1001814582,429de98f-62de-400b-966f-369b10bc0c36,,https://www.g2g.com/offers/G1767015225906EV/edit
live,G1767599280414CE,"Ritualist, Oct 2025, ~100m gold, level 97 no point, + level 93 standard",lgc_game_27013,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,45,0,0,false,1767599280430,1778358936098,2026-01-05T07:48:00.430Z,2026-05-09T20:35:36.098Z,127,,1001814582,429de98f-62de-400b-966f-369b10bc0c36,,https://www.g2g.com/offers/G1767599280414CE/edit
live,G1771127114244BP,[Steam] Diablo II: Resurrected – Infernal Edition | 0H Played,lgc_game_28960,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,40,98,3920,true,1771127114264,1778585892772,2026-02-15T03:45:14.264Z,2026-05-12T11:38:12.772Z,86,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans, 0 hours in-game
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,13b654c2-568d-4232-8a44-5a48bacf06fd,,https://www.g2g.com/offers/G1771127114244BP/edit
live,G1762916853047RP,[Steam] Pre-Purchase INAZUMA ELEVEN: Victory Road,lgc_game_39130,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,39.84,9,358.56000000000006,true,1762916853066,1778358936099,2025-11-12T03:07:33.066Z,2026-05-09T20:35:36.099Z,182,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans, 0 hours in-game
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,5a4cb940-bc42-4fee-b1f7-4770362cf1aa,,https://www.g2g.com/offers/G1762916853047RP/edit
live,G1767015228194XR,"Huntress, Level 60+, 24 passives, 4th trial guarantee, hotmail",lgc_game_27013,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,37,8,296,true,1767015228212,1778362252674,2025-12-29T13:33:48.212Z,2026-05-09T21:30:52.674Z,134,"► No build and items
► 4th trials (8 Ascendancy points)
► All acts completed, all quests for passive points closed
► Leveled up manually
► Other characters still available",1001814582,429de98f-62de-400b-966f-369b10bc0c36,,https://www.g2g.com/offers/G1767015228194XR/edit
live,G1764218494092XQ,[STEAM] Battlefield 6 - Not linked EA - Lifetime guarantee,lgc_game_5998,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,28,0,0,false,1764218494111,1778358936099,2025-11-27T04:41:34.111Z,2026-05-09T20:35:36.099Z,166,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans, not linked EA yet
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,286ecd89-d225-4ea4-ba7b-a365dca009d1,,https://www.g2g.com/offers/G1764218494092XQ/edit
live,G1772582833273BW,[GGG] Date created: 2025 06 Global client new account with original hotmail,lgc_game_19398,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,2,181,362,true,1772582833293,1778358936098,2026-03-04T00:07:13.293Z,2026-05-09T20:35:36.098Z,70,"Platform: Client
Condition: The user has never logged in and has no blocks. Do not ask for the IP address during the first login in-game.
There is no connection to third-party services like Steam, Xbox, or PSN.
There are no restrictions.
Delivery should be fast and reliable.",1001814582,d7ff3fbe-8598-4665-8bcd-45525b1f25c5,,https://www.g2g.com/offers/G1772582833273BW/edit
live,G1758244615283WV,"Deadeye, Level 84, 24 passives, 4th trial guarantee, hotmail",lgc_game_27013,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,23,2,46,true,1758244615303,1778358936099,2025-09-19T01:16:55.303Z,2026-05-09T20:35:36.099Z,236,"► No build and items
► 4th trials (8 Ascendancy points)

► All acts completed, all quests for passive points closed
► Leveled up manually
► Monk & Witch still available",1001814582,429de98f-62de-400b-966f-369b10bc0c36,,https://www.g2g.com/offers/G1758244615283WV/edit
live,G1745995974084HI,[GGG] Date created: 2025 04 Global client new account with original hotmail,lgc_game_19398,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,3.2,100,320,true,1745995974103,1778358936099,2025-04-30T06:52:54.103Z,2026-05-09T20:35:36.099Z,377,"Platform: Client
Condition: The user has never logged in and has no blocks. Do not ask for the IP address during the first login in-game.
There is no connection to third-party services like Steam, Xbox, or PSN.
There are no restrictions.
Delivery should be fast and reliable.",1001814582,d7ff3fbe-8598-4665-8bcd-45525b1f25c5,,https://www.g2g.com/offers/G1745995974084HI/edit
live,G1770991886052QF,The Binding of Isaac: Rebirth Complete Bundle,lgc_game_29012,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,20,9,180,true,1770991886060,1778435740957,2026-02-13T14:11:26.060Z,2026-05-10T17:55:40.957Z,88,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans, 0 hours in-game
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,df184800-5e76-4104-aab0-897c50b92c11,,https://www.g2g.com/offers/G1770991886052QF/edit
live,G1769905487340LG,[STEAM] Cairn | 0H Played,lgc_game_38859,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,10.49,97,1017.53,true,1769905487359,1778358936098,2026-02-01T00:24:47.359Z,2026-05-09T20:35:36.098Z,101,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans, 0 hours in-game
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,342f0ddd-5c31-4ae7-9d8b-b19c87ad80c1,,https://www.g2g.com/offers/G1769905487340LG/edit
live,G1768262580946NH,[STEAM] Quarantine Zone: The Last Check | 0H Played,lgc_game_39733,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,7.8,98,764.4,true,1768262580964,1778358936098,2026-01-13T00:03:00.964Z,2026-05-09T20:35:36.098Z,120,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans, 0 hours in-game
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,7fd131f5-aed3-4ddb-a6ac-feee26532556,,https://www.g2g.com/offers/G1768262580946NH/edit
live,G1738543733491QP,[Steam] Early Access Supporter Pack | 300 point,lgc_game_27013,f6a1aba5-473a-4044-836a-8968bbab16d7,USD,15.22,998,15189.560000000001,true,1738543733491,1778358936099,2025-02-03T00:48:53.491Z,2026-05-09T20:35:36.099Z,464,"By purchasing this product, you will receive:
- A Steam account with the game
- No bans
- Original email
- Can be changed: [Email | Phone number | Password]
- This is not a shared account; it is sold to one person only!",1001814582,429de98f-62de-400b-966f-369b10bc0c36,,https://www.g2g.com/offers/G1738543733491QP/edit
